================ Training Loss (Thu Jun 16 12:31:38 2022) ================
(epoch: 10, iters: 10, time: 0.254, data: 0.202) D_A: 0.106 G_A: 0.715 cycle_A: 0.446 idt_A: 0.370 D_B: 0.262 G_B: 0.256 cycle_B: 1.189 idt_B: 0.195 
(epoch: 140, iters: 10, time: 0.270, data: 0.309) D_A: 0.111 G_A: 0.505 cycle_A: 0.300 idt_A: 0.068 D_B: 0.248 G_B: 0.293 cycle_B: 0.158 idt_B: 0.105 
(epoch: 150, iters: 10, time: 0.273, data: 0.172) D_A: 0.152 G_A: 0.343 cycle_A: 0.312 idt_A: 0.068 D_B: 0.255 G_B: 0.255 cycle_B: 0.165 idt_B: 0.096 
(epoch: 160, iters: 10, time: 1.506, data: 0.200) D_A: 0.122 G_A: 0.441 cycle_A: 0.216 idt_A: 0.083 D_B: 0.264 G_B: 0.262 cycle_B: 0.193 idt_B: 0.074 
(epoch: 170, iters: 10, time: 0.271, data: 0.175) D_A: 0.170 G_A: 0.613 cycle_A: 0.204 idt_A: 0.081 D_B: 0.245 G_B: 0.234 cycle_B: 0.202 idt_B: 0.067 
(epoch: 180, iters: 10, time: 0.271, data: 0.174) D_A: 0.159 G_A: 0.662 cycle_A: 0.212 idt_A: 0.064 D_B: 0.255 G_B: 0.229 cycle_B: 0.154 idt_B: 0.065 
(epoch: 190, iters: 10, time: 0.270, data: 0.233) D_A: 0.274 G_A: 0.761 cycle_A: 0.191 idt_A: 0.094 D_B: 0.261 G_B: 0.191 cycle_B: 0.219 idt_B: 0.060 
(epoch: 200, iters: 10, time: 1.773, data: 0.195) D_A: 0.160 G_A: 0.449 cycle_A: 0.186 idt_A: 0.064 D_B: 0.233 G_B: 0.281 cycle_B: 0.160 idt_B: 0.053 
(epoch: 210, iters: 10, time: 0.271, data: 0.181) D_A: 0.092 G_A: 0.361 cycle_A: 0.170 idt_A: 0.058 D_B: 0.231 G_B: 0.232 cycle_B: 0.142 idt_B: 0.051 
(epoch: 220, iters: 10, time: 0.273, data: 0.167) D_A: 0.195 G_A: 0.784 cycle_A: 0.246 idt_A: 0.063 D_B: 0.229 G_B: 0.249 cycle_B: 0.161 idt_B: 0.075 
(epoch: 230, iters: 10, time: 0.274, data: 0.180) D_A: 0.126 G_A: 0.388 cycle_A: 0.181 idt_A: 0.083 D_B: 0.242 G_B: 0.270 cycle_B: 0.190 idt_B: 0.054 
(epoch: 240, iters: 10, time: 1.977, data: 0.197) D_A: 0.138 G_A: 0.622 cycle_A: 0.224 idt_A: 0.056 D_B: 0.272 G_B: 0.261 cycle_B: 0.153 idt_B: 0.069 
(epoch: 250, iters: 10, time: 0.273, data: 0.228) D_A: 0.078 G_A: 0.395 cycle_A: 0.176 idt_A: 0.063 D_B: 0.380 G_B: 0.305 cycle_B: 0.153 idt_B: 0.059 
(epoch: 260, iters: 10, time: 0.271, data: 0.184) D_A: 0.156 G_A: 0.394 cycle_A: 0.177 idt_A: 0.051 D_B: 0.252 G_B: 0.277 cycle_B: 0.128 idt_B: 0.049 
(epoch: 270, iters: 10, time: 0.271, data: 0.177) D_A: 0.159 G_A: 0.413 cycle_A: 0.192 idt_A: 0.053 D_B: 0.252 G_B: 0.225 cycle_B: 0.128 idt_B: 0.063 
(epoch: 280, iters: 10, time: 2.227, data: 0.157) D_A: 0.071 G_A: 0.458 cycle_A: 0.157 idt_A: 0.074 D_B: 0.240 G_B: 0.249 cycle_B: 0.170 idt_B: 0.050 
(epoch: 290, iters: 10, time: 0.273, data: 0.161) D_A: 0.140 G_A: 0.463 cycle_A: 0.196 idt_A: 0.048 D_B: 0.269 G_B: 0.309 cycle_B: 0.129 idt_B: 0.062 
(epoch: 300, iters: 10, time: 0.271, data: 0.205) D_A: 0.162 G_A: 0.495 cycle_A: 0.174 idt_A: 0.046 D_B: 0.225 G_B: 0.159 cycle_B: 0.115 idt_B: 0.057 
(epoch: 310, iters: 10, time: 0.273, data: 0.165) D_A: 0.085 G_A: 0.460 cycle_A: 0.151 idt_A: 0.067 D_B: 0.262 G_B: 0.254 cycle_B: 0.164 idt_B: 0.048 
(epoch: 320, iters: 10, time: 2.524, data: 0.170) D_A: 0.135 G_A: 0.551 cycle_A: 0.154 idt_A: 0.050 D_B: 0.248 G_B: 0.254 cycle_B: 0.117 idt_B: 0.049 
(epoch: 330, iters: 10, time: 0.273, data: 0.182) D_A: 0.116 G_A: 0.573 cycle_A: 0.154 idt_A: 0.052 D_B: 0.221 G_B: 0.237 cycle_B: 0.128 idt_B: 0.048 
(epoch: 340, iters: 10, time: 0.273, data: 0.172) D_A: 0.173 G_A: 0.565 cycle_A: 0.160 idt_A: 0.041 D_B: 0.244 G_B: 0.281 cycle_B: 0.099 idt_B: 0.053 
(epoch: 350, iters: 10, time: 0.271, data: 0.209) D_A: 0.121 G_A: 0.387 cycle_A: 0.140 idt_A: 0.046 D_B: 0.208 G_B: 0.224 cycle_B: 0.103 idt_B: 0.045 
(epoch: 360, iters: 10, time: 2.781, data: 0.209) D_A: 0.118 G_A: 0.532 cycle_A: 0.171 idt_A: 0.040 D_B: 0.246 G_B: 0.232 cycle_B: 0.089 idt_B: 0.057 
(epoch: 370, iters: 10, time: 0.273, data: 0.178) D_A: 0.112 G_A: 0.496 cycle_A: 0.122 idt_A: 0.038 D_B: 0.254 G_B: 0.227 cycle_B: 0.085 idt_B: 0.039 
(epoch: 380, iters: 10, time: 0.271, data: 0.200) D_A: 0.113 G_A: 0.529 cycle_A: 0.119 idt_A: 0.037 D_B: 0.253 G_B: 0.228 cycle_B: 0.077 idt_B: 0.039 
(epoch: 390, iters: 10, time: 0.272, data: 0.200) D_A: 0.130 G_A: 0.558 cycle_A: 0.133 idt_A: 0.040 D_B: 0.253 G_B: 0.240 cycle_B: 0.082 idt_B: 0.046 
(epoch: 400, iters: 10, time: 3.048, data: 0.171) D_A: 0.082 G_A: 0.574 cycle_A: 0.123 idt_A: 0.044 D_B: 0.251 G_B: 0.241 cycle_B: 0.088 idt_B: 0.045 
================ Training Loss (Thu Jun 16 14:09:06 2022) ================
(epoch: 10, iters: 10, time: 0.098, data: 0.232) G_GAN: 2.103 G_L1: 18.304 D_real: 0.101 D_fake: 0.310 
(epoch: 20, iters: 10, time: 0.097, data: 0.219) G_GAN: 1.476 G_L1: 17.883 D_real: 0.126 D_fake: 0.275 
(epoch: 30, iters: 10, time: 0.097, data: 0.229) G_GAN: 3.036 G_L1: 16.730 D_real: 0.195 D_fake: 0.051 
(epoch: 40, iters: 10, time: 0.341, data: 0.303) G_GAN: 2.210 G_L1: 13.965 D_real: 0.076 D_fake: 0.150 
(epoch: 50, iters: 10, time: 0.099, data: 0.240) G_GAN: 2.695 G_L1: 17.233 D_real: 0.148 D_fake: 0.067 
(epoch: 60, iters: 10, time: 0.100, data: 0.227) G_GAN: 3.233 G_L1: 14.079 D_real: 0.065 D_fake: 0.431 
(epoch: 70, iters: 10, time: 0.100, data: 0.400) G_GAN: 1.891 G_L1: 12.223 D_real: 0.123 D_fake: 0.153 
(epoch: 80, iters: 10, time: 0.377, data: 0.249) G_GAN: 1.804 G_L1: 8.917 D_real: 0.264 D_fake: 0.097 
(epoch: 90, iters: 10, time: 0.113, data: 0.231) G_GAN: 0.336 G_L1: 5.919 D_real: 0.498 D_fake: 0.292 
(epoch: 100, iters: 10, time: 0.104, data: 0.231) G_GAN: 0.564 G_L1: 3.714 D_real: 0.480 D_fake: 0.981 
(epoch: 110, iters: 10, time: 0.096, data: 0.236) G_GAN: 0.782 G_L1: 5.697 D_real: 0.695 D_fake: 0.551 
(epoch: 120, iters: 10, time: 0.516, data: 0.304) G_GAN: 0.632 G_L1: 3.374 D_real: 0.609 D_fake: 0.789 
(epoch: 130, iters: 10, time: 0.103, data: 0.216) G_GAN: 0.739 G_L1: 5.045 D_real: 0.730 D_fake: 0.664 
(epoch: 140, iters: 10, time: 0.105, data: 0.213) G_GAN: 0.695 G_L1: 2.952 D_real: 0.765 D_fake: 0.638 
(epoch: 150, iters: 10, time: 0.105, data: 0.222) G_GAN: 0.753 G_L1: 2.838 D_real: 0.748 D_fake: 0.638 
(epoch: 160, iters: 10, time: 0.578, data: 0.218) G_GAN: 0.679 G_L1: 2.698 D_real: 0.680 D_fake: 0.715 
(epoch: 170, iters: 10, time: 0.105, data: 0.260) G_GAN: 0.683 G_L1: 2.320 D_real: 0.684 D_fake: 0.707 
(epoch: 180, iters: 10, time: 0.103, data: 0.218) G_GAN: 0.729 G_L1: 2.939 D_real: 0.728 D_fake: 0.655 
(epoch: 190, iters: 10, time: 0.105, data: 0.219) G_GAN: 0.708 G_L1: 1.946 D_real: 0.700 D_fake: 0.669 
(epoch: 200, iters: 10, time: 0.689, data: 0.323) G_GAN: 0.689 G_L1: 2.520 D_real: 0.683 D_fake: 0.702 
(epoch: 210, iters: 10, time: 0.100, data: 0.234) G_GAN: 0.722 G_L1: 2.908 D_real: 0.711 D_fake: 0.668 
(epoch: 220, iters: 10, time: 0.104, data: 0.228) G_GAN: 0.723 G_L1: 1.921 D_real: 0.725 D_fake: 0.663 
(epoch: 230, iters: 10, time: 0.102, data: 0.329) G_GAN: 0.718 G_L1: 1.756 D_real: 0.687 D_fake: 0.671 
(epoch: 240, iters: 10, time: 0.855, data: 0.231) G_GAN: 0.703 G_L1: 1.660 D_real: 0.702 D_fake: 0.698 
(epoch: 250, iters: 10, time: 0.103, data: 0.254) G_GAN: 0.668 G_L1: 2.004 D_real: 0.648 D_fake: 0.737 
(epoch: 260, iters: 10, time: 0.104, data: 0.223) G_GAN: 0.713 G_L1: 1.550 D_real: 0.692 D_fake: 0.668 
(epoch: 270, iters: 10, time: 0.104, data: 0.242) G_GAN: 0.647 G_L1: 1.625 D_real: 0.639 D_fake: 0.758 
(epoch: 280, iters: 10, time: 0.877, data: 0.272) G_GAN: 0.701 G_L1: 1.390 D_real: 0.700 D_fake: 0.685 
(epoch: 290, iters: 10, time: 0.104, data: 0.238) G_GAN: 0.731 G_L1: 2.454 D_real: 0.854 D_fake: 0.538 
(epoch: 300, iters: 10, time: 0.102, data: 0.248) G_GAN: 0.726 G_L1: 1.373 D_real: 0.706 D_fake: 0.671 
(epoch: 310, iters: 10, time: 0.103, data: 0.261) G_GAN: 0.697 G_L1: 1.712 D_real: 0.683 D_fake: 0.696 
(epoch: 320, iters: 10, time: 1.062, data: 0.226) G_GAN: 0.667 G_L1: 1.575 D_real: 0.672 D_fake: 0.709 
(epoch: 330, iters: 10, time: 0.105, data: 0.226) G_GAN: 0.694 G_L1: 1.278 D_real: 0.681 D_fake: 0.696 
(epoch: 340, iters: 10, time: 0.104, data: 0.217) G_GAN: 0.715 G_L1: 1.509 D_real: 0.714 D_fake: 0.666 
(epoch: 350, iters: 10, time: 0.105, data: 0.241) G_GAN: 0.780 G_L1: 1.541 D_real: 0.779 D_fake: 0.608 
(epoch: 360, iters: 10, time: 1.089, data: 0.222) G_GAN: 0.721 G_L1: 1.241 D_real: 0.719 D_fake: 0.661 
(epoch: 370, iters: 10, time: 0.103, data: 0.212) G_GAN: 0.695 G_L1: 1.216 D_real: 0.687 D_fake: 0.695 
(epoch: 380, iters: 10, time: 0.105, data: 0.213) G_GAN: 0.706 G_L1: 1.490 D_real: 0.690 D_fake: 0.685 
(epoch: 390, iters: 10, time: 0.105, data: 0.254) G_GAN: 0.693 G_L1: 1.322 D_real: 0.679 D_fake: 0.695 
(epoch: 400, iters: 10, time: 1.288, data: 0.303) G_GAN: 0.697 G_L1: 1.450 D_real: 0.684 D_fake: 0.718 
